开仓时间,平仓时间,开单策略,方向,数量,开仓价格,平仓价格,盈亏(U),收益率,平仓原因
2026-04-27 20:37:32,2026-04-27 20:44:01,V23低吸-轨外10U(优质区评分90),多,0.003,77665.0,77721.4,0.17,1.45%,V24动态追踪止盈-主趋势奔跑-回撤30%或100秒未新高
2026-04-27 20:58:24,2026-04-27 21:00:01,V23低吸-轨外10U(优质区评分90),多,0.003,77600.0,77619.9,0.06,0.51%,V24动态追踪止盈-微利加速-回撤70%或125秒未新高
2026-04-27 21:26:55,2026-04-27 21:38:43,V23低吸-轨外10U(优质区评分90),多,0.003,77660.0,77754.9,0.28,2.44%,V24动态追踪止盈-主趋势奔跑-回撤30%或100秒未新高
2026-04-27 21:38:53,2026-04-27 21:52:46,V23高抛-轨外10U(优质区评分90),空,0.003,77785.0,77597.9,0.56,4.81%,V24动态追踪止盈-主趋势奔跑-回撤30%或100秒未新高
2026-04-27 22:00:32,2026-04-27 22:02:14,V23高抛-轨外10U(优质区评分90),空,0.003,77755.0,77715.9,0.12,1.01%,V24动态追踪止盈-主趋势奔跑-回撤30%或100秒未新高
2026-04-27 22:05:11,2026-04-27 22:06:07,V23低吸-轨外10U(优质区评分90),多,0.003,77660.0,77701.6,0.12,1.07%,V24动态追踪止盈-主趋势奔跑-回撤30%或100秒未新高
2026-04-27 22:06:19,2026-04-27 22:07:51,V23高抛-轨外10U(优质区评分90),空,0.003,77790.0,77774.6,0.05,0.40%,V24动态追踪止盈-微利加速-回撤70%或125秒未新高
2026-04-27 22:25:03,2026-04-27 22:27:01,V23高抛-轨外10U(优质区评分90),空,0.003,77880.0,77845.6,0.1,0.88%,V24动态追踪止盈-主趋势奔跑-回撤30%或100秒未新高
2026-04-27 22:31:08,2026-04-27 22:31:58,V23高抛-轨外10U(优质区评分90),空,0.003,77885.0,77844.5,0.12,1.04%,V24动态追踪止盈-主趋势奔跑-回撤30%或100秒未新高
